folder,has_media,model_pos,pkl_token_index,token,token_word,time_start,time_end,time_mid,frame_count,conf_t,conf_a,conf_v,conf_fused,conf_language,conf_acoustic,conf_visual,aux_conf_mean
,0,0,,[CLS],[CLS],,,,0,0.64138466,0.51258719,0.51716471,0.51258719,0.6413846611976624,0.5125871896743774,0.5171647667884827,0.5792747139930725
pos_01_hi,1,1,0,▁hi,hi,0.720000,1.100000,0.910000,4,0.63728583,0.50438935,0.52091026,0.50438935,0.6372858285903931,0.5043892860412598,0.5209102630615234,0.5790980458259583
pos_02_dot,1,2,1,▁.,.,1.160000,1.250000,1.205000,4,0.64360458,0.50438935,0.52004695,0.50438935,0.6436046361923218,0.5043892860412598,0.5200469493865967,0.5818257927894592
pos_03_am,1,3,2,▁am,am,1.250000,1.340000,1.295000,4,0.64006662,0.50438935,0.48297554,0.50438935,0.6400665640830994,0.5043892860412598,0.4829755127429962,0.5615210384130478
pos_04_here,1,4,3,▁here,here,1.340000,1.460000,1.400000,4,0.63625824,0.50438935,0.47684282,0.50438935,0.6362583041191101,0.5043892860412598,0.4768427908420563,0.5565505474805832
pos_05_to,1,5,4,▁to,to,1.460000,1.510000,1.485000,4,0.63792062,0.50438935,0.48041004,0.50438935,0.6379206776618958,0.5043892860412598,0.48041003942489624,0.559165358543396
pos_06_review,1,6,5,▁review,review,1.460000,1.880000,1.670000,4,0.63062876,0.50438935,0.49151748,0.50438935,0.630628764629364,0.5043892860412598,0.49151748418807983,0.5610731244087219
pos_07_in,1,7,6,▁in,in,1.880000,2.200000,2.040000,4,0.64268184,0.50438935,0.49253777,0.50438935,0.6426817178726196,0.5043892860412598,0.4925377368927002,0.5676097273826599
pos_08_the,1,8,7,▁the,the,2.200000,2.340000,2.270000,4,0.64183706,0.50438935,0.4875958,0.50438935,0.6418370604515076,0.5043892860412598,0.487595796585083,0.5647164285182953
pos_09_name,1,9,8,▁name,name,2.340000,2.560000,2.450000,4,0.64657587,0.50438935,0.48229861,0.50438935,0.6465758681297302,0.5043892860412598,0.4822986125946045,0.5644372403621674
pos_10_of,1,10,9,▁of,of,2.560000,2.760000,2.660000,4,0.64069545,0.50438935,0.47093543,0.50438935,0.6406954526901245,0.5043892860412598,0.4709354043006897,0.5558154284954071
pos_11_the,1,11,10,▁the,the,2.760000,2.920000,2.840000,4,0.64167601,0.50438935,0.4681049,0.50438935,0.6416759490966797,0.5043892860412598,0.46810489892959595,0.5548904240131378
pos_12_dot,1,12,11,▁.,.,2.920000,2.970000,2.945000,4,0.64991575,0.50438935,0.47079316,0.50438935,0.6499156951904297,0.5043892860412598,0.47079312801361084,0.5603544116020203
pos_13_king,1,13,12,▁king,king,2.920000,3.280000,3.100000,4,0.64623219,0.50438935,0.4758755,0.50438935,0.6462321877479553,0.5043892860412598,0.47587546706199646,0.5610538274049759
pos_14_it,1,14,13,▁it,it,3.560000,3.780000,3.670000,4,0.63891602,0.50438935,0.48518854,0.50438935,0.6389160752296448,0.5043892860412598,0.4851885437965393,0.562052309513092
pos_15_a,1,15,14,▁a,a,3.780000,3.900000,3.840000,4,0.63830173,0.50438935,0.4786247,0.50438935,0.6383016705513,0.5043892860412598,0.4786246716976166,0.5584631711244583
pos_16_film,1,16,15,▁film,film,3.900000,3.980000,3.940000,4,0.6358574,0.50438935,0.47888038,0.50438935,0.6358574032783508,0.5043892860412598,0.478880375623703,0.5573688894510269
,0,17,,[SEP],[SEP],,,,0,0.63913822,0.51258719,0.51716471,0.51258719,0.6391382217407227,0.5125871896743774,0.5171647667884827,0.5781514942646027
