folder,has_media,model_pos,pkl_token_index,token,token_word,time_start,time_end,time_mid,frame_count,conf_t,conf_a,conf_v,conf_fused,conf_language,conf_acoustic,conf_visual,aux_conf_mean
,0,0,,[CLS],[CLS],,,,0,0.61949515,0.49680603,0.49655649,0.49655649,0.6194950938224792,0.4968060255050659,0.49655649065971375,0.5581505596637726
pos_01_u6ca1,1,1,0,没,没,0.030000,0.150000,0.090000,8,0.55845362,0.4938544,0.73476577,0.73476577,0.5584536194801331,0.4938544034957886,0.7347657680511475,0.5261540114879608
pos_02_u60f3,1,2,1,想,想,0.150000,0.350000,0.250000,8,0.65480912,0.48525602,0.81026101,0.81026101,0.6548090577125549,0.48525601625442505,0.8102610111236572,0.57003253698349
pos_03_u5230,1,3,2,到,到,0.350000,0.590000,0.470000,8,0.61764598,0.50108051,0.81440592,0.81440592,0.6176458597183228,0.5010805130004883,0.8144059181213379,0.5593631863594055
pos_04_u554a,1,4,3,啊,啊,0.810000,1.075000,0.942500,8,0.64242858,0.56056005,0.75931036,0.75931036,0.642428457736969,0.5605600476264954,0.7593103647232056,0.6014942526817322
pos_05_comma,1,5,4,，,，,1.075000,1.990000,1.532500,8,0.67565477,0.49202681,0.73793459,0.73793459,0.6756547093391418,0.49202680587768555,0.7379345893859863,0.5838407576084137
pos_06_u5415,1,6,5,吕,吕,1.990000,2.210000,2.100000,8,0.53743827,0.48262864,0.7559638,0.7559638,0.5374382734298706,0.48262864351272583,0.7559638023376465,0.5100334584712982
pos_07_u5b50,1,7,6,子,子,2.210000,2.450000,2.330000,8,0.49935767,0.4948647,0.68052292,0.68052292,0.49935758113861084,0.49486470222473145,0.6805229187011719,0.49711114168167114
pos_08_u4e54,1,8,7,乔,乔,2.450000,2.690000,2.570000,8,0.53809798,0.4935784,0.77634275,0.77634275,0.5380979776382446,0.49357840418815613,0.7763427495956421,0.5158381909132004
pos_09_u8fd8,1,9,8,还,还,2.730000,2.850000,2.790000,8,0.71120733,0.57723904,0.80985832,0.80985832,0.711207389831543,0.5772390365600586,0.8098583221435547,0.6442232131958008
pos_10_u6709,1,10,9,有,有,2.850000,3.030000,2.940000,8,0.6470437,0.54134107,0.74854326,0.74854326,0.6470438241958618,0.5413411259651184,0.7485432624816895,0.5941924750804901
pos_11_u94c1,1,11,10,铁,铁,3.030000,3.190000,3.110000,8,0.61531574,0.68562698,0.74299854,0.74299854,0.6153157949447632,0.6856269836425781,0.742998480796814,0.6504713892936707
pos_12_u6746,1,12,11,杆,杆,3.190000,3.370000,3.280000,8,0.63088274,0.61926872,0.76174819,0.76174819,0.6308827996253967,0.6192687153816223,0.761748194694519,0.6250757575035095
pos_13_u7c89,1,13,12,粉,粉,3.370000,3.530000,3.450000,8,0.59340328,0.52946615,0.78704309,0.78704309,0.5934032201766968,0.5294661521911621,0.7870430946350098,0.5614346861839294
pos_14_u4e1d,1,14,13,丝,丝,3.530000,3.770000,3.650000,8,0.6039952,0.50221372,0.82325196,0.82325196,0.603995144367218,0.502213716506958,0.8232520222663879,0.553104430437088
pos_15_u5462,1,15,14,呢,呢,3.770000,3.975000,3.872500,8,0.60388017,0.5020687,0.81876713,0.81876713,0.6038800477981567,0.5020686984062195,0.8187671303749084,0.5529743731021881
pos_16_dot,1,16,15,。,。,3.975000,4.086750,4.030875,8,0.63539392,0.49965566,0.78929865,0.78929865,0.6353939771652222,0.49965566396713257,0.7892986536026001,0.5675248205661774
,0,17,,[SEP],[SEP],,,,0,0.60275561,0.49680603,0.49655649,0.49655649,0.602755606174469,0.4968060255050659,0.49655649065971375,0.5497808158397675
