folder,model_pos,pkl_token_index,token,token_word,time_start,time_end,time_mid,whisper_word,whisper_match
pos_01_the,1,0,the,the,0.000000,0.160000,0.080000,The,equal
pos_02_sequences,2,1,sequences,sequences,0.160000,0.540000,0.350000,sequences,equal
pos_03_of,3,2,of,of,0.540000,0.860000,0.700000,at,replace
pos_04_the,4,3,the,the,0.860000,0.920000,0.890000,the,equal
pos_05_beginning,5,4,beginning,beginning,0.920000,1.140000,1.030000,beginning,equal
pos_06_of,6,5,of,of,1.140000,1.340000,1.240000,of,equal
pos_07_the,7,6,the,the,1.340000,1.440000,1.390000,the,equal
pos_08_film,8,7,film,film,1.440000,1.680000,1.560000,film,equal
pos_09_which,9,8,which,which,1.680000,1.920000,1.800000,which,equal
pos_10_features,10,9,features,features,1.920000,2.300000,2.110000,feature,replace
pos_11_columbus,11,10,columbus,columbus,2.300000,2.820000,2.560000,Columbus,equal
pos_12_exzplaining,12,11,exzplaining,exzplaining,2.820000,3.500000,3.160000,explaining,replace
pos_13_some,13,12,some,some,3.500000,3.820000,3.660000,some,equal
pos_14_of,14,13,of,of,3.820000,3.960000,3.890000,of,equal
pos_15_his,15,14,his,his,3.960000,4.120000,4.040000,his,equal
pos_16_rules,16,15,rules,rules,4.120000,4.720000,4.420000,rules,equal
pos_17_um,17,16,um,um,4.720000,4.770000,4.745000,,interpolated
pos_18_to,18,17,to,to,4.720000,5.040000,4.880000,to,equal
pos_19_surviving,19,18,surviving,surviving,5.040000,5.800000,5.420000,surviving,equal
pos_20_a,20,19,a,a,5.800000,6.320000,6.060000,a,equal
pos_21_zombie,21,20,zombie,zombie,6.320000,7.000000,6.660000,zombie,equal
pos_22_apocalipse,22,21,apocalipse,apocalipse,7.000000,7.520000,7.260000,apocalypse,replace
pos_23_are,23,22,are,are,7.520000,7.880000,7.700000,are,equal
pos_24_really,24,23,really,really,7.880000,8.240000,8.060000,really,equal
pos_25_well,25,24,well,well,8.240000,8.480000,8.360000,well,equal
pos_26_done,26,25,done,done,8.480000,8.720000,8.600000,done.,equal
