global_index	pos	token_id	token	valid	ib_conf_t	ib_conf_a	ib_conf_v	ib_conf_fused
116	0	1	[CLS]	1	0.53173989	0.50010127	0.49977016	0.53173989
116	1	262	▁the	1	0.61308718	0.50010979	0.49968204	0.61308718
116	2	9806	▁sequences	1	0.60279679	0.50010109	0.49969035	0.60279679
116	3	265	▁of	1	0.59253305	0.50006831	0.49965703	0.59253305
116	4	262	▁the	1	0.60792923	0.50009304	0.49965167	0.60792923
116	5	1547	▁beginning	1	0.59871173	0.50012410	0.49965447	0.59871173
116	6	265	▁of	1	0.59629327	0.50009477	0.49964684	0.59629327
116	7	262	▁the	1	0.62270176	0.50010180	0.49966526	0.62270176
116	8	933	▁film	1	0.61773264	0.50011981	0.49966952	0.61773264
116	9	319	▁which	1	0.60623765	0.50014824	0.49967894	0.60623765
116	10	830	▁features	1	0.60215366	0.50010926	0.49970591	0.60215366
116	11	91816	▁columbus	1	0.57556450	0.50011516	0.49970683	0.57556450
116	12	3424	▁ex	1	0.57314807	0.50005323	0.49966931	0.57314807
116	13	1895	z	1	0.55960608	0.50005323	0.49966931	0.55960608
116	14	36562	plain	1	0.56509662	0.50005323	0.49966931	0.56509662
116	15	510	ing	1	0.58172941	0.50005323	0.49966931	0.58172941
116	16	347	▁some	1	0.58174461	0.50011396	0.49968368	0.58174461
116	17	265	▁of	1	0.56836426	0.50015330	0.49971613	0.56836426
116	18	315	▁his	1	0.57206398	0.50013012	0.49971879	0.57206398
116	19	1685	▁rules	1	0.56324279	0.50009590	0.49961400	0.56324279
116	20	11265	▁um	1	0.55464154	0.50015175	0.49958438	0.55464154
116	21	264	▁to	1	0.55818242	0.50014251	0.49963006	0.55818242
116	22	11309	▁surviving	1	0.54911298	0.50016946	0.49965081	0.54911298
116	23	266	▁a	1	0.54709995	0.50010675	0.49970493	0.54709995
116	24	15623	▁zombie	1	0.53737152	0.50012338	0.49963844	0.53737152
116	25	266	▁a	1	0.54038060	0.50011069	0.49967727	0.54038060
116	26	102878	poca	1	0.52912450	0.50011069	0.49967727	0.52912450
116	27	41170	lips	1	0.52542466	0.50011069	0.49967727	0.52542466
116	28	473	e	1	0.52830124	0.50011069	0.49967727	0.52830124
116	29	281	▁are	1	0.62419069	0.50014734	0.49969563	0.62419069
116	30	431	▁really	1	0.62196100	0.50009084	0.49968109	0.62196100
116	31	371	▁well	1	0.62266219	0.50009471	0.49963707	0.62266219
116	32	619	▁done	1	0.62049288	0.50006974	0.49964422	0.62049288
116	33	2	[SEP]	1	0.54460704	0.50010127	0.49977016	0.54460704
116	34	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
116	35	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
116	36	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
116	37	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
116	38	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
116	39	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
116	40	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
116	41	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
116	42	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
116	43	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
116	44	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
116	45	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
116	46	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
116	47	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
116	48	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
116	49	0	[PAD]	0	0.00000000	0.00000000	0.00000000	0.00000000
