pos,input_id,subword,is_valid,conf_t,conf_a,conf_v,conf_fused
0,101,[CLS],1,0.5520185232162476,0.4968060255050659,0.49655649065971375,0.5520185232162476
1,2769,我,1,0.5772101879119873,0.49145960807800293,0.45881444215774536,0.5772101879119873
2,679,不,1,0.6007457971572876,0.4873611032962799,0.45854049921035767,0.6007457971572876
3,2682,想,1,0.6538852453231812,0.49584275484085083,0.47298622131347656,0.6538852453231812
4,2063,嫁,1,0.5344093441963196,0.502450704574585,0.4716864824295044,0.5344093441963196
5,1057,入,1,0.5502227544784546,0.5423480868339539,0.4620135426521301,0.5502227544784546
6,784,什,1,0.5362692475318909,0.48564833402633667,0.4629455804824829,0.5362692475318909
7,720,么,1,0.5410199165344238,0.4903959631919861,0.46304258704185486,0.5410199165344238
8,6498,豪,1,0.5105361938476562,0.4976077973842621,0.465981125831604,0.5105361938476562
9,7305,门,1,0.5028677582740784,0.4937882423400879,0.4658200144767761,0.5028677582740784
10,8024,，,1,0.6016577482223511,0.4914668798446655,0.4740825891494751,0.6016577482223511
11,2769,我,1,0.6232279539108276,0.4848375618457794,0.4618086814880371,0.6232279539108276
12,812,们,1,0.5822880864143372,0.49446332454681396,0.4673040211200714,0.5822880864143372
13,679,不,1,0.5731090307235718,0.501144528388977,0.46863269805908203,0.5731090307235718
14,2218,就,1,0.5935549736022949,0.5034072995185852,0.471220999956131,0.5935549736022949
15,3221,是,1,0.648309051990509,0.5789033770561218,0.47265732288360596,0.648309051990509
16,6498,豪,1,0.6112446784973145,0.4911568760871887,0.4741779565811157,0.6112446784973145
17,7305,门,1,0.5545241832733154,0.4869510233402252,0.46128755807876587,0.5545241832733154
18,1408,吗,1,0.5132155418395996,0.49779945611953735,0.46349021792411804,0.5132155418395996
19,8043,？,1,0.5445947647094727,0.4919853210449219,0.4630948305130005,0.5445947647094727
20,102,[SEP],1,0.5089911818504333,0.4968060255050659,0.49655649065971375,0.5089911818504333
21,0,[PAD],0,0.0,0.0,0.0,0.0
22,0,[PAD],0,0.0,0.0,0.0,0.0
23,0,[PAD],0,0.0,0.0,0.0,0.0
24,0,[PAD],0,0.0,0.0,0.0,0.0
25,0,[PAD],0,0.0,0.0,0.0,0.0
26,0,[PAD],0,0.0,0.0,0.0,0.0
27,0,[PAD],0,0.0,0.0,0.0,0.0
28,0,[PAD],0,0.0,0.0,0.0,0.0
29,0,[PAD],0,0.0,0.0,0.0,0.0
30,0,[PAD],0,0.0,0.0,0.0,0.0
31,0,[PAD],0,0.0,0.0,0.0,0.0
32,0,[PAD],0,0.0,0.0,0.0,0.0
33,0,[PAD],0,0.0,0.0,0.0,0.0
34,0,[PAD],0,0.0,0.0,0.0,0.0
35,0,[PAD],0,0.0,0.0,0.0,0.0
36,0,[PAD],0,0.0,0.0,0.0,0.0
37,0,[PAD],0,0.0,0.0,0.0,0.0
38,0,[PAD],0,0.0,0.0,0.0,0.0
39,0,[PAD],0,0.0,0.0,0.0,0.0
40,0,[PAD],0,0.0,0.0,0.0,0.0
41,0,[PAD],0,0.0,0.0,0.0,0.0
42,0,[PAD],0,0.0,0.0,0.0,0.0
43,0,[PAD],0,0.0,0.0,0.0,0.0
44,0,[PAD],0,0.0,0.0,0.0,0.0
45,0,[PAD],0,0.0,0.0,0.0,0.0
46,0,[PAD],0,0.0,0.0,0.0,0.0
47,0,[PAD],0,0.0,0.0,0.0,0.0
48,0,[PAD],0,0.0,0.0,0.0,0.0
49,0,[PAD],0,0.0,0.0,0.0,0.0
