pos,token_id,token,primary_name,aux_conf_mean,conf_acoustic,conf_language,conf_visual,pred_masked,delta_pred,abs_delta_pred,abs_err_masked,delta_abs_err
0,101,[CLS],visual,0.5581505596637726,0.4968060255050659,0.6194950938224792,0.49655649065971375,0.8006230592727661,0.0014543533325195312,0.0014543533325195312,0.0006230473518371582,-0.00020825862884521484
1,3766,没,visual,0.5261540114879608,0.4938544034957886,0.5584536194801331,0.7347657680511475,0.8031753301620483,0.004006624221801758,0.004006624221801758,0.0031753182411193848,0.0023440122604370117
2,2682,想,visual,0.57003253698349,0.48525601625442505,0.6548090577125549,0.8102610111236572,0.7992463707923889,7.766485214233398e-05,7.766485214233398e-05,0.0007536411285400391,-7.766485214233398e-05
3,1168,到,visual,0.5593631863594055,0.5010805130004883,0.6176458597183228,0.8144059181213379,0.8005641102790833,0.00139540433883667,0.00139540433883667,0.0005640983581542969,-0.00026720762252807617
4,1557,啊,visual,0.6014942526817322,0.5605600476264954,0.642428457736969,0.7593103647232056,0.7946810722351074,-0.00448763370513916,0.00448763370513916,0.005318939685821533,0.00448763370513916
5,8024,，,visual,0.5838407576084137,0.49202680587768555,0.6756547093391418,0.7379345893859863,0.7990555763244629,-0.0001131296157836914,0.0001131296157836914,0.0009444355964660645,0.0001131296157836914
6,1406,吕,visual,0.5100334584712982,0.48262864351272583,0.5374382734298706,0.7559638023376465,0.802870512008667,0.00370180606842041,0.00370180606842041,0.002870500087738037,0.002039194107055664
7,2094,子,visual,0.49711114168167114,0.49486470222473145,0.49935758113861084,0.6805229187011719,0.8057001829147339,0.006531476974487305,0.006531476974487305,0.005700170993804932,0.004868865013122559
8,730,乔,visual,0.5158381909132004,0.49357840418815613,0.5380979776382446,0.7763427495956421,0.8034432530403137,0.004274547100067139,0.004274547100067139,0.0034432411193847656,0.0026119351387023926
9,6820,还,visual,0.6442232131958008,0.5772390365600586,0.711207389831543,0.8098583221435547,0.7925853133201599,-0.00658339262008667,0.00658339262008667,0.007414698600769043,0.00658339262008667
10,3300,有,visual,0.5941924750804901,0.5413411259651184,0.6470438241958618,0.7485432624816895,0.7949702739715576,-0.004198431968688965,0.004198431968688965,0.005029737949371338,0.004198431968688965
11,7188,铁,visual,0.6504713892936707,0.6856269836425781,0.6153157949447632,0.742998480796814,0.7940027117729187,-0.005165994167327881,0.005165994167327881,0.005997300148010254,0.005165994167327881
12,3327,杆,visual,0.6250757575035095,0.6192687153816223,0.6308827996253967,0.761748194694519,0.794234037399292,-0.00493466854095459,0.00493466854095459,0.005765974521636963,0.00493466854095459
13,5106,粉,visual,0.5614346861839294,0.5294661521911621,0.5934032201766968,0.7870430946350098,0.7962524890899658,-0.0029162168502807617,0.0029162168502807617,0.0037475228309631348,0.0029162168502807617
14,692,丝,visual,0.553104430437088,0.502213716506958,0.603995144367218,0.8232520222663879,0.801331102848053,0.0021623969078063965,0.0021623969078063965,0.0013310909271240234,0.0004997849464416504
15,1450,呢,visual,0.5529743731021881,0.5020686984062195,0.6038800477981567,0.8187671303749084,0.8014737367630005,0.0023050308227539062,0.0023050308227539062,0.0014737248420715332,0.0006424188613891602
16,511,。,visual,0.5675248205661774,0.49965566396713257,0.6353939771652222,0.7892986536026001,0.7998444437980652,0.0006757378578186035,0.0006757378578186035,0.00015556812286376953,-0.0006757378578186035
17,102,[SEP],visual,0.5497808158397675,0.4968060255050659,0.602755606174469,0.49655649065971375,0.8008515238761902,0.0016828179359436035,0.0016828179359436035,0.0008515119552612305,2.0205974578857422e-05
