folder,has_media,model_pos,pkl_token_index,token,token_word,time_start,time_end,time_mid,frame_count,conf_t,conf_a,conf_v,conf_fused,conf_language,conf_acoustic,conf_visual,aux_conf_mean
,0,0,,[CLS],[CLS],,,,0,0.90111905,0.49680603,0.49655649,0.90111905,0.9011189937591553,0.4968060255050659,0.49655649065971375,0.49668125808238983
pos_01_u4f60,1,1,0,你,你,0.720000,0.880000,0.800000,8,0.61989117,0.49853349,0.49411288,0.61989117,0.6198911666870117,0.4985334873199463,0.49411287903785706,0.4963231831789017
pos_02_u5e26,1,2,1,带,带,0.880000,1.020000,0.950000,8,0.66347313,0.49771693,0.49207908,0.66347313,0.6634731292724609,0.4977169334888458,0.49207907915115356,0.4948980063199997
pos_03_u5979,1,3,2,她,她,1.020000,1.120000,1.070000,8,0.60804141,0.49901167,0.51052618,0.60804141,0.6080414056777954,0.49901166558265686,0.510526180267334,0.5047689229249954
pos_04_u8d70,1,4,3,走,走,1.120000,1.445000,1.282500,8,0.63087296,0.53997362,0.47864741,0.63087296,0.6308728456497192,0.5399736166000366,0.4786474108695984,0.5093105137348175
pos_05_comma,1,5,4,，,，,1.445000,2.180000,1.812500,8,0.69486988,0.54613072,0.47094861,0.69486988,0.694869875907898,0.5461307168006897,0.47094860672950745,0.5085396617650986
pos_06_u4ffa,1,6,5,俺,俺,2.180000,2.360000,2.270000,8,0.61427021,0.49841261,0.49267149,0.61427021,0.6142701506614685,0.4984126091003418,0.49267148971557617,0.495542049407959
pos_07_u8981,1,7,6,要,要,2.360000,2.460000,2.410000,8,0.76632625,0.49986601,0.5247584,0.76632625,0.7663261890411377,0.4998660087585449,0.5247583985328674,0.5123122036457062
pos_08_u662f,1,8,7,是,是,2.460000,2.580000,2.520000,8,0.75384176,0.49936455,0.48498595,0.75384176,0.753841757774353,0.49936455488204956,0.48498594760894775,0.49217525124549866
pos_09_u6709,1,9,8,有,有,2.580000,2.740000,2.660000,8,0.78049779,0.58067632,0.48594165,0.78049779,0.780497670173645,0.5806763172149658,0.48594164848327637,0.5333089828491211
pos_10_u547d,1,10,9,命,命,2.740000,2.940000,2.840000,8,0.7996937,0.5159049,0.46706954,0.7996937,0.7996935248374939,0.5159049034118652,0.467069536447525,0.49148721992969513
pos_11_u56de,1,11,10,回,回,2.940000,3.140000,3.040000,8,0.77902937,0.5471704,0.46804708,0.77902937,0.779029369354248,0.5471704006195068,0.4680470824241638,0.5076087415218353
pos_12_u53bb,1,12,11,去,去,3.140000,3.435000,3.287500,8,0.79303974,0.52016127,0.47155488,0.79303974,0.7930399179458618,0.5201612710952759,0.47155487537384033,0.4958580732345581
pos_13_comma,1,13,12,，,，,3.435000,4.410000,3.922500,8,0.85476875,0.49397308,0.47757322,0.85476875,0.8547686338424683,0.4939730763435364,0.4775732159614563,0.48577314615249634
pos_14_u4ffa,1,14,13,俺,俺,4.410000,4.650000,4.530000,8,0.7554698,0.49845874,0.49064457,0.7554698,0.7554699182510376,0.49845874309539795,0.49064457416534424,0.4945516586303711
pos_15_u5f53,1,15,14,当,当,4.650000,4.850000,4.750000,8,0.86356777,0.49640718,0.49037537,0.86356777,0.8635677099227905,0.4964071810245514,0.4903753697872162,0.4933912754058838
pos_16_u725b,1,16,15,牛,牛,4.850000,4.990000,4.920000,8,0.81100214,0.49584162,0.48527834,0.81100214,0.8110018968582153,0.4958416223526001,0.48527833819389343,0.49055998027324677
pos_17_u505a,1,17,16,做,做,4.990000,5.130000,5.060000,8,0.8155126,0.50400376,0.47491825,0.8155126,0.8155125379562378,0.5040037631988525,0.4749182462692261,0.4894610047340393
pos_18_u9a6c,1,18,17,马,马,5.130000,5.330000,5.230000,8,0.81649268,0.50751865,0.46338922,0.81649268,0.8164922595024109,0.5075186491012573,0.46338921785354614,0.48545393347740173
pos_19_u62a5,1,19,18,报,报,5.330000,5.470000,5.400000,8,0.85286593,0.64387274,0.47023338,0.85286593,0.8528659343719482,0.6438727378845215,0.47023338079452515,0.5570530593395233
pos_20_u7b54,1,20,19,答,答,5.470000,5.650000,5.560000,8,0.80419719,0.49958724,0.47803599,0.80419719,0.8041970729827881,0.4995872378349304,0.47803598642349243,0.4888116121292114
pos_21_u4f60,1,21,20,你,你,5.650000,5.795000,5.722500,8,0.76823664,0.49716529,0.53343654,0.76823664,0.7682362794876099,0.4971652925014496,0.5334365367889404,0.515300914645195
,0,22,,[SEP],[SEP],,,,0,0.66583353,0.49680603,0.49655649,0.66583353,0.6658334732055664,0.4968060255050659,0.49655649065971375,0.49668125808238983
