axis,value,tag,MAE,Corr,F1,Acc-2,Acc-7,SelectionScore,log_path
alpha_ib,0.001,v0p001,0.4971,0.8029,0.8594,0.858,0.5621,0.490159,/root/autodl-tmp/ITHP_MODS_CyIN_Ect/My_creation/runs/sensitivity_mosei/trial70/alpha_ib/v0p001/train.log
alpha_ib,0.005,v0p005,0.5011,0.8004,0.8597,0.8586,0.5639,0.489596,/root/autodl-tmp/ITHP_MODS_CyIN_Ect/My_creation/runs/sensitivity_mosei/trial70/alpha_ib/v0p005/train.log
alpha_ib,0.01,v0p01,0.4994,0.7995,0.8726,0.8740000000000001,0.5598,0.489355,/root/autodl-tmp/ITHP_MODS_CyIN_Ect/My_creation/runs/sensitivity_mosei/trial70/alpha_ib/v0p01/train.log
alpha_ib,0.02,v0p02,0.5031,0.7973,0.8684,0.8687999999999999,0.5563,0.489757,/root/autodl-tmp/ITHP_MODS_CyIN_Ect/My_creation/runs/sensitivity_mosei/trial70/alpha_ib/v0p02/train.log
alpha_ib,0.05,v0p05,0.5264,0.7912,0.8464,0.8445,0.5297999999999999,0.512176,/root/autodl-tmp/ITHP_MODS_CyIN_Ect/My_creation/runs/sensitivity_mosei/trial70/alpha_ib/v0p05/train.log
alpha_ib,0.1,v0p1,0.6001,0.7528,0.7976,0.7942,0.45549999999999996,0.566076,/root/autodl-tmp/ITHP_MODS_CyIN_Ect/My_creation/runs/sensitivity_mosei/trial70/alpha_ib/v0p1/train.log
beta_ib,10.874572225567213,v10p8746,0.5028,0.7936,0.8543,0.8528,0.5615,0.485004,/root/autodl-tmp/ITHP_MODS_CyIN_Ect/My_creation/runs/sensitivity_mosei/trial70/beta_ib/v10p8746/train.log
beta_ib,16.31185833835082,v16p3119,0.4999,0.7961,0.854,0.8525,0.563,0.483844,/root/autodl-tmp/ITHP_MODS_CyIN_Ect/My_creation/runs/sensitivity_mosei/trial70/beta_ib/v16p3119/train.log
beta_ib,21.749144451134427,v21p7491,0.4994,0.7995,0.8726,0.8740000000000001,0.5598,0.489355,/root/autodl-tmp/ITHP_MODS_CyIN_Ect/My_creation/runs/sensitivity_mosei/trial70/beta_ib/v21p7491/train.log
beta_ib,27.186430563918034,v27p1864,0.5015,0.7974,0.8561,0.8547,0.5639,0.487731,/root/autodl-tmp/ITHP_MODS_CyIN_Ect/My_creation/runs/sensitivity_mosei/trial70/beta_ib/v27p1864/train.log
beta_ib,32.62371667670164,v32p6237,0.5082,0.7986,0.8719,0.8734999999999999,0.5531,0.490866,/root/autodl-tmp/ITHP_MODS_CyIN_Ect/My_creation/runs/sensitivity_mosei/trial70/beta_ib/v32p6237/train.log
beta_ib,43.498288902268854,v43p4983,0.5064,0.7967,0.8678,0.8691,0.5565,0.497298,/root/autodl-tmp/ITHP_MODS_CyIN_Ect/My_creation/runs/sensitivity_mosei/trial70/beta_ib/v43p4983/train.log
beta_ib,5.437286112783607,v5p43729,0.5102,0.7968,0.858,0.8565999999999999,0.5561,0.497297,/root/autodl-tmp/ITHP_MODS_CyIN_Ect/My_creation/runs/sensitivity_mosei/trial70/beta_ib/v5p43729/train.log
mse_weight,0.5,v0p5,0.5206,0.7964,0.8603,0.8634999999999999,0.5471,0.517901,/root/autodl-tmp/ITHP_MODS_CyIN_Ect/My_creation/runs/sensitivity_mosei/trial70/mse_weight/v0p5/train.log
mse_weight,1.0,v1,0.5038,0.7915,0.838,0.8356,0.5546,0.490234,/root/autodl-tmp/ITHP_MODS_CyIN_Ect/My_creation/runs/sensitivity_mosei/trial70/mse_weight/v1/train.log
mse_weight,1.5,v1p5,0.5022,0.8005,0.8614,0.8602,0.5572,0.492003,/root/autodl-tmp/ITHP_MODS_CyIN_Ect/My_creation/runs/sensitivity_mosei/trial70/mse_weight/v1p5/train.log
mse_weight,2.145509,v2p14551,0.4994,0.7995,0.8726,0.8740000000000001,0.5598,0.489355,/root/autodl-tmp/ITHP_MODS_CyIN_Ect/My_creation/runs/sensitivity_mosei/trial70/mse_weight/v2p14551/train.log
mse_weight,2.5,v2p5,0.5026,0.7985,0.8581,0.8565999999999999,0.5593,0.486982,/root/autodl-tmp/ITHP_MODS_CyIN_Ect/My_creation/runs/sensitivity_mosei/trial70/mse_weight/v2p5/train.log
mse_weight,3.0,v3,0.516,0.7999,0.8708,0.8718,0.544,0.508596,/root/autodl-tmp/ITHP_MODS_CyIN_Ect/My_creation/runs/sensitivity_mosei/trial70/mse_weight/v3/train.log
mse_weight,4.0,v4,0.5037,0.7969,0.8674,0.8693000000000001,0.5568,0.497319,/root/autodl-tmp/ITHP_MODS_CyIN_Ect/My_creation/runs/sensitivity_mosei/trial70/mse_weight/v4/train.log
selector_rib_weight,0.0,v0,0.5004,0.8032,0.8707,0.8706999999999999,0.5542,0.491521,/root/autodl-tmp/ITHP_MODS_CyIN_Ect/My_creation/runs/sensitivity_mosei/trial70/selector_rib_weight/v0/train.log
selector_rib_weight,0.01,v0p01,0.4966,0.7963,0.8652,0.8645999999999999,0.5671,0.488676,/root/autodl-tmp/ITHP_MODS_CyIN_Ect/My_creation/runs/sensitivity_mosei/trial70/selector_rib_weight/v0p01/train.log
selector_rib_weight,0.025,v0p025,0.4961,0.7985,0.8726,0.8732,0.569,0.489757,/root/autodl-tmp/ITHP_MODS_CyIN_Ect/My_creation/runs/sensitivity_mosei/trial70/selector_rib_weight/v0p025/train.log
